Wavelength (nm),Absorbance
200.0,1.083
201.0,1.084
202.0,1.091
203.0,1.103
204.0,1.104
205.0,1.100
206.0,1.101
207.0,1.112
208.0,1.123
209.0,1.124
210.0,1.125
211.0,1.132
212.0,1.142
213.0,1.154
214.0,1.164
215.0,1.174
216.0,1.179
217.0,1.180
218.0,1.184
219.0,1.190
220.0,1.196
221.0,1.199
222.0,1.204
223.0,1.212
224.0,1.219
225.0,1.224
226.0,1.229
227.0,1.233
228.0,1.235
229.0,1.231
230.0,1.228
231.0,1.226
232.0,1.225
233.0,1.223
234.0,1.219
235.0,1.214
236.0,1.204
237.0,1.197
238.0,1.187
239.0,1.182
240.0,1.173
241.0,1.163
242.0,1.151
243.0,1.141
244.0,1.130
245.0,1.117
246.0,1.103
247.0,1.090
248.0,1.080
249.0,1.066
250.0,1.052
251.0,1.036
252.0,1.024
253.0,1.010
254.0,0.996
255.0,0.983
256.0,0.969
257.0,0.953
258.0,0.937
259.0,0.920
260.0,0.905
261.0,0.889
262.0,0.873
263.0,0.857
264.0,0.841
265.0,0.824
266.0,0.809
267.0,0.794
268.0,0.779
269.0,0.762
270.0,0.747
271.0,0.733
272.0,0.720
273.0,0.707
274.0,0.697
275.0,0.686
276.0,0.676
277.0,0.667
278.0,0.659
279.0,0.650
280.0,0.643
281.0,0.636
282.0,0.631
283.0,0.627
284.0,0.623
285.0,0.619
286.0,0.615
287.0,0.612
288.0,0.609
289.0,0.607
290.0,0.603
291.0,0.600
292.0,0.597
293.0,0.595
294.0,0.594
295.0,0.591
296.0,0.589
297.0,0.586
298.0,0.584
299.0,0.581
300.0,0.578
301.0,0.575
302.0,0.573
303.0,0.570
304.0,0.566
305.0,0.562
306.0,0.558
307.0,0.554
308.0,0.551
309.0,0.544
310.0,0.539
311.0,0.533
312.0,0.527
313.0,0.520
314.0,0.514
315.0,0.509
316.0,0.505
317.0,0.499
318.0,0.494
319.0,0.488
320.0,0.482
321.0,0.476
322.0,0.470
323.0,0.464
324.0,0.458
325.0,0.453
326.0,0.447
327.0,0.442
328.0,0.436
329.0,0.429
330.0,0.422
331.0,0.416
332.0,0.411
333.0,0.404
334.0,0.398
335.0,0.393
336.0,0.388
337.0,0.382
338.0,0.377
339.0,0.372
340.0,0.367
341.0,0.363
342.0,0.358
343.0,0.354
344.0,0.349
345.0,0.345
346.0,0.340
347.0,0.336
348.0,0.332
349.0,0.329
350.0,0.325
351.0,0.321
352.0,0.317
353.0,0.314
354.0,0.310
355.0,0.307
356.0,0.305
357.0,0.302
358.0,0.299
359.0,0.296
360.0,0.293
361.0,0.290
362.0,0.287
363.0,0.283
364.0,0.281
365.0,0.277
366.0,0.274
367.0,0.271
368.0,0.268
369.0,0.264
370.0,0.261
371.0,0.258
372.0,0.255
373.0,0.251
374.0,0.248
375.0,0.245
376.0,0.243
377.0,0.239
378.0,0.237
379.0,0.234
380.0,0.230
381.0,0.227
382.0,0.225
383.0,0.222
384.0,0.219
385.0,0.216
386.0,0.213
387.0,0.210
388.0,0.207
389.0,0.204
390.0,0.202
391.0,0.199
392.0,0.196
393.0,0.194
394.0,0.191
395.0,0.188
396.0,0.185
397.0,0.183
398.0,0.180
399.0,0.178
400.0,0.176
401.0,0.173
402.0,0.170
403.0,0.167
404.0,0.165
405.0,0.163
406.0,0.161
407.0,0.158
408.0,0.156
409.0,0.154
410.0,0.151
411.0,0.149
412.0,0.147
413.0,0.146
414.0,0.144
415.0,0.142
416.0,0.139
417.0,0.137
418.0,0.135
419.0,0.133
420.0,0.131
421.0,0.129
422.0,0.127
423.0,0.126
424.0,0.124
425.0,0.122
426.0,0.120
427.0,0.119
428.0,0.117
429.0,0.115
430.0,0.113
431.0,0.111
432.0,0.110
433.0,0.108
434.0,0.107
435.0,0.105
436.0,0.103
437.0,0.102
438.0,0.100
439.0,0.099
440.0,0.097
441.0,0.096
442.0,0.094
443.0,0.093
444.0,0.092
445.0,0.091
446.0,0.089
447.0,0.088
448.0,0.087
449.0,0.086
450.0,0.085
451.0,0.083
452.0,0.082
453.0,0.081
454.0,0.080
455.0,0.079
456.0,0.078
457.0,0.077
458.0,0.075
459.0,0.074
460.0,0.073
461.0,0.071
462.0,0.071
463.0,0.070
464.0,0.069
465.0,0.068
466.0,0.067
467.0,0.066
468.0,0.066
469.0,0.065
470.0,0.064
471.0,0.063
472.0,0.062
473.0,0.062
474.0,0.061
475.0,0.060
476.0,0.059
477.0,0.058
478.0,0.058
479.0,0.057
480.0,0.056
481.0,0.055
482.0,0.055
483.0,0.054
484.0,0.054
485.0,0.053
486.0,0.052
487.0,0.052
488.0,0.051
489.0,0.050
490.0,0.050
491.0,0.049
492.0,0.049
493.0,0.048
494.0,0.047
495.0,0.047
496.0,0.046
497.0,0.046
498.0,0.045
499.0,0.045
500.0,0.044
501.0,0.044
502.0,0.043
503.0,0.042
504.0,0.042
505.0,0.042
506.0,0.041
507.0,0.041
508.0,0.040
509.0,0.040
510.0,0.039
511.0,0.039
512.0,0.038
513.0,0.038
514.0,0.038
515.0,0.037
516.0,0.037
517.0,0.037
518.0,0.036
519.0,0.036
520.0,0.035
521.0,0.034
522.0,0.034
523.0,0.034
524.0,0.034
525.0,0.033
526.0,0.033
527.0,0.033
528.0,0.032
529.0,0.032
530.0,0.032
531.0,0.032
532.0,0.031
533.0,0.031
534.0,0.030
535.0,0.030
536.0,0.030
537.0,0.030
538.0,0.030
539.0,0.029
540.0,0.029
541.0,0.028
542.0,0.028
543.0,0.028
544.0,0.028
545.0,0.027
546.0,0.027
547.0,0.027
548.0,0.027
549.0,0.026
550.0,0.026
551.0,0.026
552.0,0.025
553.0,0.025
554.0,0.025
555.0,0.025
556.0,0.024
557.0,0.024
558.0,0.024
559.0,0.024
560.0,0.024
561.0,0.023
562.0,0.023
563.0,0.023
564.0,0.023
565.0,0.022
566.0,0.022
567.0,0.022
568.0,0.022
569.0,0.022
570.0,0.021
571.0,0.021
572.0,0.021
573.0,0.020
574.0,0.020
575.0,0.020
576.0,0.020
577.0,0.020
578.0,0.020
579.0,0.020
580.0,0.019
581.0,0.020
582.0,0.019
583.0,0.019
584.0,0.019
585.0,0.018
586.0,0.018
587.0,0.018
588.0,0.018
589.0,0.018
590.0,0.018
591.0,0.018
592.0,0.018
593.0,0.017
594.0,0.017
595.0,0.017
596.0,0.017
597.0,0.017
598.0,0.017
599.0,0.017
600.0,0.017
601.0,0.016
602.0,0.016
603.0,0.016
604.0,0.016
605.0,0.016
606.0,0.016
607.0,0.015
608.0,0.015
609.0,0.015
610.0,0.015
611.0,0.015
612.0,0.014
613.0,0.015
614.0,0.015
615.0,0.015
616.0,0.014
617.0,0.014
618.0,0.014
619.0,0.014
620.0,0.014
621.0,0.014
622.0,0.014
623.0,0.014
624.0,0.013
625.0,0.013
626.0,0.013
627.0,0.013
628.0,0.013
629.0,0.013
630.0,0.013
631.0,0.013
632.0,0.013
633.0,0.012
634.0,0.012
635.0,0.012
636.0,0.012
637.0,0.013
638.0,0.013
639.0,0.012
640.0,0.012
641.0,0.012
642.0,0.012
643.0,0.012
644.0,0.012
645.0,0.012
646.0,0.012
647.0,0.011
648.0,0.011
649.0,0.011
650.0,0.011
651.0,0.011
652.0,0.011
653.0,0.011
654.0,0.011
655.0,0.011
656.0,0.011
657.0,0.011
658.0,0.011
659.0,0.011
660.0,0.011
661.0,0.010
662.0,0.010
663.0,0.010
664.0,0.010
665.0,0.010
666.0,0.010
667.0,0.010
668.0,0.010
669.0,0.010
670.0,0.010
671.0,0.010
672.0,0.010
673.0,0.010
674.0,0.009
675.0,0.009
676.0,0.009
677.0,0.009
678.0,0.009
679.0,0.009
680.0,0.009
681.0,0.009
682.0,0.009
683.0,0.009
684.0,0.009
685.0,0.009
686.0,0.008
687.0,0.009
688.0,0.009
689.0,0.008
690.0,0.008
691.0,0.008
692.0,0.008
693.0,0.008
694.0,0.008
695.0,0.008
696.0,0.009
697.0,0.008
698.0,0.008
699.0,0.008
700.0,0.008
701.0,0.008
702.0,0.008
703.0,0.008
704.0,0.008
705.0,0.008
706.0,0.008
707.0,0.008
708.0,0.008
709.0,0.008
710.0,0.007
711.0,0.008
712.0,0.008
713.0,0.008
714.0,0.008
715.0,0.007
716.0,0.007
717.0,0.007
718.0,0.007
719.0,0.007
720.0,0.007
721.0,0.007
722.0,0.007
723.0,0.007
724.0,0.007
725.0,0.007
726.0,0.006
727.0,0.007
728.0,0.006
729.0,0.006
730.0,0.006
731.0,0.007
732.0,0.007
733.0,0.007
734.0,0.007
735.0,0.007
736.0,0.007
737.0,0.007
738.0,0.006
739.0,0.006
740.0,0.006
741.0,0.006
742.0,0.006
743.0,0.006
744.0,0.006
745.0,0.006
746.0,0.006
747.0,0.006
748.0,0.006
749.0,0.006
750.0,0.007
751.0,0.006
752.0,0.006
753.0,0.006
754.0,0.006
755.0,0.006
756.0,0.005
757.0,0.005
758.0,0.006
759.0,0.006
760.0,0.006
761.0,0.006
762.0,0.006
763.0,0.006
764.0,0.006
765.0,0.005
766.0,0.005
767.0,0.005
768.0,0.005
769.0,0.006
770.0,0.006
771.0,0.005
772.0,0.006
773.0,0.006
774.0,0.006
775.0,0.005
776.0,0.005
777.0,0.005
778.0,0.005
779.0,0.005
780.0,0.006
781.0,0.006
782.0,0.005
783.0,0.005
784.0,0.004
785.0,0.004
786.0,0.004
787.0,0.005
788.0,0.005
789.0,0.005
790.0,0.005
791.0,0.005
792.0,0.005
793.0,0.005
794.0,0.006
795.0,0.006
796.0,0.005
797.0,0.005
798.0,0.005
799.0,0.005
800.0,0.004
