Wavelength (nm),Absorbance
200.0,1.216
201.0,1.217
202.0,1.219
203.0,1.211
204.0,1.199
205.0,1.194
206.0,1.193
207.0,1.196
208.0,1.192
209.0,1.192
210.0,1.193
211.0,1.189
212.0,1.193
213.0,1.192
214.0,1.196
215.0,1.196
216.0,1.194
217.0,1.196
218.0,1.195
219.0,1.198
220.0,1.198
221.0,1.196
222.0,1.200
223.0,1.202
224.0,1.203
225.0,1.202
226.0,1.200
227.0,1.200
228.0,1.199
229.0,1.196
230.0,1.192
231.0,1.188
232.0,1.185
233.0,1.184
234.0,1.180
235.0,1.176
236.0,1.172
237.0,1.169
238.0,1.161
239.0,1.155
240.0,1.147
241.0,1.142
242.0,1.137
243.0,1.132
244.0,1.124
245.0,1.119
246.0,1.113
247.0,1.107
248.0,1.097
249.0,1.088
250.0,1.083
251.0,1.075
252.0,1.067
253.0,1.057
254.0,1.049
255.0,1.042
256.0,1.035
257.0,1.025
258.0,1.017
259.0,1.007
260.0,0.999
261.0,0.990
262.0,0.982
263.0,0.974
264.0,0.965
265.0,0.956
266.0,0.947
267.0,0.938
268.0,0.929
269.0,0.921
270.0,0.913
271.0,0.906
272.0,0.899
273.0,0.890
274.0,0.883
275.0,0.875
276.0,0.869
277.0,0.864
278.0,0.861
279.0,0.857
280.0,0.853
281.0,0.846
282.0,0.841
283.0,0.838
284.0,0.834
285.0,0.833
286.0,0.829
287.0,0.826
288.0,0.823
289.0,0.820
290.0,0.818
291.0,0.814
292.0,0.813
293.0,0.812
294.0,0.811
295.0,0.808
296.0,0.806
297.0,0.803
298.0,0.800
299.0,0.797
300.0,0.794
301.0,0.792
302.0,0.789
303.0,0.786
304.0,0.783
305.0,0.781
306.0,0.778
307.0,0.774
308.0,0.770
309.0,0.766
310.0,0.762
311.0,0.757
312.0,0.752
313.0,0.747
314.0,0.743
315.0,0.739
316.0,0.735
317.0,0.731
318.0,0.728
319.0,0.724
320.0,0.719
321.0,0.714
322.0,0.710
323.0,0.706
324.0,0.702
325.0,0.699
326.0,0.695
327.0,0.691
328.0,0.685
329.0,0.680
330.0,0.676
331.0,0.673
332.0,0.670
333.0,0.666
334.0,0.662
335.0,0.657
336.0,0.653
337.0,0.649
338.0,0.645
339.0,0.641
340.0,0.638
341.0,0.634
342.0,0.629
343.0,0.624
344.0,0.620
345.0,0.618
346.0,0.614
347.0,0.611
348.0,0.608
349.0,0.605
350.0,0.601
351.0,0.598
352.0,0.595
353.0,0.593
354.0,0.589
355.0,0.586
356.0,0.583
357.0,0.580
358.0,0.577
359.0,0.574
360.0,0.571
361.0,0.568
362.0,0.565
363.0,0.562
364.0,0.559
365.0,0.556
366.0,0.553
367.0,0.550
368.0,0.546
369.0,0.543
370.0,0.540
371.0,0.538
372.0,0.534
373.0,0.531
374.0,0.528
375.0,0.525
376.0,0.521
377.0,0.518
378.0,0.515
379.0,0.512
380.0,0.508
381.0,0.505
382.0,0.502
383.0,0.499
384.0,0.496
385.0,0.492
386.0,0.489
387.0,0.486
388.0,0.483
389.0,0.480
390.0,0.476
391.0,0.472
392.0,0.469
393.0,0.467
394.0,0.464
395.0,0.461
396.0,0.458
397.0,0.455
398.0,0.452
399.0,0.449
400.0,0.446
401.0,0.443
402.0,0.440
403.0,0.437
404.0,0.434
405.0,0.430
406.0,0.427
407.0,0.425
408.0,0.422
409.0,0.419
410.0,0.416
411.0,0.413
412.0,0.411
413.0,0.408
414.0,0.405
415.0,0.402
416.0,0.400
417.0,0.397
418.0,0.394
419.0,0.392
420.0,0.389
421.0,0.386
422.0,0.384
423.0,0.381
424.0,0.379
425.0,0.376
426.0,0.374
427.0,0.371
428.0,0.369
429.0,0.366
430.0,0.364
431.0,0.362
432.0,0.359
433.0,0.357
434.0,0.354
435.0,0.352
436.0,0.349
437.0,0.347
438.0,0.345
439.0,0.342
440.0,0.340
441.0,0.338
442.0,0.336
443.0,0.334
444.0,0.331
445.0,0.329
446.0,0.327
447.0,0.325
448.0,0.323
449.0,0.321
450.0,0.319
451.0,0.317
452.0,0.315
453.0,0.313
454.0,0.310
455.0,0.308
456.0,0.306
457.0,0.303
458.0,0.301
459.0,0.299
460.0,0.297
461.0,0.295
462.0,0.293
463.0,0.292
464.0,0.290
465.0,0.288
466.0,0.286
467.0,0.284
468.0,0.282
469.0,0.280
470.0,0.279
471.0,0.277
472.0,0.275
473.0,0.273
474.0,0.271
475.0,0.269
476.0,0.267
477.0,0.265
478.0,0.263
479.0,0.262
480.0,0.260
481.0,0.258
482.0,0.257
483.0,0.255
484.0,0.254
485.0,0.252
486.0,0.250
487.0,0.248
488.0,0.246
489.0,0.245
490.0,0.243
491.0,0.242
492.0,0.240
493.0,0.239
494.0,0.237
495.0,0.236
496.0,0.234
497.0,0.232
498.0,0.231
499.0,0.229
500.0,0.228
501.0,0.226
502.0,0.225
503.0,0.223
504.0,0.221
505.0,0.220
506.0,0.219
507.0,0.217
508.0,0.216
509.0,0.215
510.0,0.213
511.0,0.212
512.0,0.210
513.0,0.209
514.0,0.208
515.0,0.207
516.0,0.205
517.0,0.204
518.0,0.202
519.0,0.201
520.0,0.200
521.0,0.198
522.0,0.197
523.0,0.195
